2021-02-25 13:50:54,581 DEBUG  ROS Time: 331 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:56,589 DEBUG  ROS Time: 333 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:58,597 DEBUG  ROS Time: 335 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:00,607 DEBUG  ROS Time: 337 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:02,613 DEBUG  ROS Time: 339 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:04,628 DEBUG  ROS Time: 341 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:06,634 DEBUG  ROS Time: 343 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:08,639 DEBUG  ROS Time: 345 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:10,642 DEBUG  ROS Time: 347 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:12,647 DEBUG  ROS Time: 349 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:14,654 DEBUG  ROS Time: 351 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:16,659 DEBUG  ROS Time: 353 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:18,869 DEBUG  ROS Time: 355 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:20,875 DEBUG  ROS Time: 357 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:22,883 DEBUG  ROS Time: 359 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:24,894 DEBUG  ROS Time: 361 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:26,900 DEBUG  ROS Time: 363 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:28,910 DEBUG  ROS Time: 365 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:30,917 DEBUG  ROS Time: 367 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:32,924 DEBUG  ROS Time: 369 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:34,936 DEBUG  ROS Time: 371 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:36,946 DEBUG  ROS Time: 373 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:38,955 DEBUG  ROS Time: 375 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:40,966 DEBUG  ROS Time: 377 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:42,975 DEBUG  ROS Time: 379 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:44,984 DEBUG  ROS Time: 381 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:46,997 DEBUG  ROS Time: 383 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:49,007 DEBUG  ROS Time: 385 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:51,017 DEBUG  ROS Time: 387 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:53,035 DEBUG  ROS Time: 389 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:55,041 DEBUG  ROS Time: 391 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:57,048 DEBUG  ROS Time: 393 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:51:59,058 DEBUG  ROS Time: 395 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:01,063 DEBUG  ROS Time: 397 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:03,069 DEBUG  ROS Time: 399 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:05,080 DEBUG  ROS Time: 400 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:07,095 DEBUG  ROS Time: 402 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:09,102 DEBUG  ROS Time: 404 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:11,107 DEBUG  ROS Time: 406 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:13,113 DEBUG  ROS Time: 408 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:15,120 DEBUG  ROS Time: 410 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:17,125 DEBUG  ROS Time: 412 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:19,131 DEBUG  ROS Time: 414 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:21,137 DEBUG  ROS Time: 416 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:23,148 DEBUG  ROS Time: 418 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:25,153 DEBUG  ROS Time: 420 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:27,158 DEBUG  ROS Time: 422 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:29,169 DEBUG  ROS Time: 424 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:31,178 DEBUG  ROS Time: 426 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:33,194 DEBUG  ROS Time: 428 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:35,205 DEBUG  ROS Time: 430 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:37,210 DEBUG  ROS Time: 432 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:39,215 DEBUG  ROS Time: 434 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:41,222 DEBUG  ROS Time: 436 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:43,228 DEBUG  ROS Time: 438 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:45,237 DEBUG  ROS Time: 440 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:47,243 DEBUG  ROS Time: 442 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:49,249 DEBUG  ROS Time: 444 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:51,255 DEBUG  ROS Time: 446 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:53,263 DEBUG  ROS Time: 448 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:55,271 DEBUG  ROS Time: 450 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:57,280 DEBUG  ROS Time: 452 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:52:59,286 DEBUG  ROS Time: 454 | active tasks: 0 | terminated tasks: 0 | active robots: 2
