2021-08-17 18:16:45,556 DEBUG  ROS Time: 244 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:47,563 DEBUG  ROS Time: 246 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:49,573 DEBUG  ROS Time: 248 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:51,580 DEBUG  ROS Time: 250 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:53,588 DEBUG  ROS Time: 252 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:55,594 DEBUG  ROS Time: 254 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:57,601 DEBUG  ROS Time: 256 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:59,609 DEBUG  ROS Time: 258 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:01,615 DEBUG  ROS Time: 260 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:03,622 DEBUG  ROS Time: 262 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:05,630 DEBUG  ROS Time: 264 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:07,638 DEBUG  ROS Time: 266 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:09,644 DEBUG  ROS Time: 268 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:11,651 DEBUG  ROS Time: 270 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:13,659 DEBUG  ROS Time: 272 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:15,667 DEBUG  ROS Time: 274 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:17,672 DEBUG  ROS Time: 276 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:19,678 DEBUG  ROS Time: 278 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:21,686 DEBUG  ROS Time: 280 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:17:23,694 DEBUG  ROS Time: 282 | active tasks: 0 | terminated tasks: 0 | active robots: 2
