2021-07-27 11:17:03,309 DEBUG  ROS Time: 340 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:05,317 DEBUG  ROS Time: 342 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:07,329 DEBUG  ROS Time: 344 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:09,335 DEBUG  ROS Time: 346 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:11,342 DEBUG  ROS Time: 348 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:13,349 DEBUG  ROS Time: 350 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:15,366 DEBUG  ROS Time: 352 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:17,384 DEBUG  ROS Time: 354 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:19,397 DEBUG  ROS Time: 355 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:21,413 DEBUG  ROS Time: 357 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:23,433 DEBUG  ROS Time: 359 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:25,453 DEBUG  ROS Time: 361 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:27,466 DEBUG  ROS Time: 363 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:29,493 DEBUG  ROS Time: 365 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:31,503 DEBUG  ROS Time: 366 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:33,517 DEBUG  ROS Time: 368 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:35,532 DEBUG  ROS Time: 370 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:37,551 DEBUG  ROS Time: 372 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:39,566 DEBUG  ROS Time: 373 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:41,585 DEBUG  ROS Time: 375 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:43,608 DEBUG  ROS Time: 377 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:45,645 DEBUG  ROS Time: 379 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:47,665 DEBUG  ROS Time: 381 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:49,684 DEBUG  ROS Time: 383 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:51,704 DEBUG  ROS Time: 385 | active tasks: 0 | terminated tasks: 1 | active robots: 2
